id,label,randomnumber,organism,UGness
A0A521V1A2,retron,3,bacterial,nonUG
A0A3M0EPV0,retron,4,bacterial,nonUG
A0A2M8YHR5,retron,4,bacterial,nonUG
A0A7S9GFU0,retron,5,bacterial,nonUG
A0A1W6L2E1,retron,5,bacterial,nonUG
A0A1J0SW71,retron,6,bacterial,nonUG
U4V9B3,retron,6,bacterial,nonUG
D3RQK8,retron,7,bacterial,nonUG
A0A2M7PZW6,retron,7,bacterial,nonUG
A0A6H2D3B1,retron,8,bacterial,nonUG
A0A7X4GFL2,retron,8,bacterial,nonUG
F7ZAQ9,retron,9,bacterial,nonUG
A0A1F3Y179,retron,9,bacterial,nonUG
C5AN60,retron,10,bacterial,nonUG
A0A519MEH1,retron,10,bacterial,nonUG
A0A2A5EPN6,retron,11,bacterial,nonUG
A0A0B5E216,retron,11,bacterial,nonUG
A0A1T2A2T6,retron,12,bacterial,nonUG
A0A845A088,retron,12,bacterial,nonUG
A0A1X7HQZ2,retron,13,bacterial,nonUG
A0A2T9KCY1,retron,13,bacterial,nonUG
A0A845X7Z5,retron,14,bacterial,nonUG
A0A521H333,retron,14,bacterial,nonUG
A0A238D9C7,retron,15,bacterial,nonUG
A0A031JVU7,retron,15,bacterial,nonUG
A0A4Q0HTQ9,retron,16,bacterial,nonUG
A0A848FFQ0,retron,16,bacterial,nonUG
A0A4Z0AS36,retron,17,bacterial,nonUG
A0A3N8RB71,retron,17,bacterial,nonUG
A0A105TF75,retron,18,bacterial,nonUG
A0A3D3KJA2,retron,18,bacterial,nonUG
A0A0J1NGF7,retron,19,bacterial,nonUG
A0A4Q1CQM2,retron,19,bacterial,nonUG
A0A4R7RMV8,retron,20,bacterial,nonUG
A0A7G7ENL2,retron,20,bacterial,nonUG
A0A6N8XNG9,retron,21,bacterial,nonUG
A0A356NYB3,retron,21,bacterial,nonUG
A0A8B4ND75,retron,22,bacterial,nonUG
E1W275,retron,22,bacterial,nonUG
A0A330MAV8,retron,23,bacterial,nonUG
A0A7T8ARK4,retron,23,bacterial,nonUG
A0A448TVV3,retron,24,bacterial,nonUG
A0A1E9MP84,retron,24,bacterial,nonUG
A0A7L6N5I8,retron,25,bacterial,nonUG
T0SXH7,retron,25,bacterial,nonUG
A0A3S9KLC1,retron,26,bacterial,nonUG
A0A7T7XNI3,retron,26,bacterial,nonUG
A0A1C6HCZ3,retron,27,bacterial,nonUG
A0A7U9WZ11,retron,27,bacterial,nonUG
A0A0R1XPV0,retron,28,bacterial,nonUG
A0A2N7ASU1,retron,28,bacterial,nonUG
A0A1L8SSR5,retron,29,bacterial,nonUG
A0A1V5S2D7,retron,29,bacterial,nonUG
A0A3D1WGA9,retron,30,bacterial,nonUG
R6XLK3,retron,30,bacterial,nonUG
A0A200ID83,retron,31,bacterial,nonUG
A0A809NYB9,retron,31,bacterial,nonUG
A0A0U2X5Z9,retron,32,bacterial,nonUG
A0A419VTT3,retron,32,bacterial,nonUG
A0A5C8E082,retron,33,bacterial,nonUG
R6DSD3,retron,33,bacterial,nonUG
A0A6J4WRT4,retron,34,bacterial,nonUG
A0A3B6VZ66,retron,34,bacterial,nonUG
A0A6S6TU31,retron,35,bacterial,nonUG
A0A2D9C0Z4,retron,35,bacterial,nonUG
A0A3C1RIF5,retron,36,bacterial,nonUG
A0A3E1YC68,retron,36,bacterial,nonUG
A0A6M1SU45,retron,37,bacterial,nonUG
A0A519L1Q7,retron,37,bacterial,nonUG
